"學生代號","W","Lab01","Lab02","Lab03","Lab04","Lab05","Lab06","Lab07","Lab08","Lab09","Lab10","HW1","HW2","HW3","HW4","HW5","Mid","OT","Final","FP","點名","Bonus","總成績","Grade"
"es26dcs052","False","100","100","60","100","100","60","100","60","100","100","95.07","95.25","98.5","98.29","99.14","71.0","74.4","93","97.04","3","","90.94","A+"
"es26dcs053","False","100","100","60","60","100","0","100","60","100","100","70.29","67.5","77.5","75.71","78.86","74.5","60.8","70","82.5","3","","74.63","B"
"es26dcs054","False","100","100","60","60","100","60","100","60","100","100","94.43","78.25","88.21","97.64","85.29","72.0","100.0","89","111.57","3","","92.97","A+"
"es26dcs055","False","100","100","100","100","60","60","100","60","60","100","95.79","90.25","77.36","96.14","47.94","59.0","72.53","65","99.07","3","","78.85","B+"
"es26dcs056","False","100","100","60","60","100","60","100","60","60","100","82.5","79.25","82.21","76.29","79.07","62.5","71.47","66","81.86","3","","75.16","B"
"es26dcs057","True","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","","0.0","","0.0","","","0.0","X"
"es26dcs058","True","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","","0.0","","0.0","","","0.0","X"
"es26dcs059","True","100","100","100","100","60","0","0","0","0","0","95.71","93.0","0.0","0.0","0.0","44.0","0.0","","0.0","","","16.6","E"
"es26dcs060","False","100","100","60","60","95","100","100","60","100","100","83.93","83.25","82.0","88.64","85.43","73.5","65.33","74","94.64","3","","81.92","A-"
"es26dcs061","True","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","","0.0","","0.0","","","0.0","X"
"es26dcs062","False","100","100","100","100","100","100","100","100","60","100","96.14","96.25","96.57","100.0","98.93","87.0","100.0","93","114.29","3","1","100.1","A+"
"es26dcs063","False","100","100","60","100","100","100","100","60","100","100","86.07","93.5","83.5","75.5","53.46","85.5","69.87","97","95.89","3","","88.2","A"
"es26dcs064","True","100","100","60","60","60","60","0","0","0","0","75.36","80.0","75.14","0.0","0.0","55.0","0.0","","0.0","","","19.57","E"
